 R   <X|H|A> 
15.05242 -5.868466057322529e-6
15.05961 -5.869409305753313e-6
15.06679 -5.8703567489664036e-6
15.07397 -5.8712986940404794e-6
15.08115 -5.87224062884334e-6
15.08833 -5.873182575636498e-6
15.09551 -5.874119001184235e-6
15.10269 -5.875055426750526e-6
15.10987 -5.875991866610755e-6
15.11705 -5.876922785076866e-6
15.12423 -5.877853715360081e-6
15.13142 -5.878785930415916e-6
15.1386 -5.879716842509344e-6
15.14578 -5.880636756213109e-6
15.15296 -5.88156767500566e-6
15.16014 -5.882487585822105e-6
15.16732 -5.8834074869755445e-6
15.1745 -5.884332909389178e-6
15.18168 -5.885247303048293e-6
15.18886 -5.8861616926420866e-6
15.19604 -5.887081608849351e-6
15.20322 -5.88799049410808e-6
15.21041 -5.888906169127947e-6
15.21759 -5.8898150506756385e-6
15.22477 -5.890723933446313e-6
15.23195 -5.891627321260622e-6
15.23913 -5.892536205692703e-6
15.24631 -5.893439593663567e-6
15.25349 -5.894337460174701e-6
15.26067 -5.895240835881718e-6
15.26785 -5.896138716529599e-6
15.27503 -5.897036585852465e-6
15.28222 -5.897930203370457e-6
15.2894 -5.8988280686877365e-6
15.29658 -5.899714916912947e-6
15.30376 -5.900607288659917e-6
15.31094 -5.901494138587774e-6
15.31812 -5.902386510000968e-6
15.3253 -5.903267852322762e-6
15.33248 -5.904149192417186e-6
15.33966 -5.905036057379818e-6
15.34684 -5.905911891389391e-6
15.35402 -5.906793247444785e-6
15.36121 -5.907664789232515e-6
15.36839 -5.908540638470512e-6
15.37557 -5.909416470510382e-6
15.38275 -5.9102867938301844e-6
15.38993 -5.911151622480538e-6
15.39711 -5.9120219476870695e-6
15.40429 -5.912892285531653e-6
15.41147 -5.913757104153537e-6
15.41865 -5.914616413513234e-6
15.42583 -5.9154757334365645e-6
15.43302 -5.916336238576528e-6
15.4402 -5.917195559480859e-6
15.44738 -5.91805486630889e-6
15.45456 -5.91890866532786e-6
15.46174 -5.919762476902977e-6
15.46892 -5.9206107681817426e-6
15.4761 -5.9214590715609555e-6
15.48328 -5.9223073629351755e-6
15.49046 -5.923155655997728e-6
15.49764 -5.923998452051495e-6
15.50483 -5.924842407269775e-6
15.51201 -5.9256796912152124e-6
15.51919 -5.926516966632734e-6
15.52637 -5.927354241161652e-6
15.53355 -5.928191528055938e-6
15.54073 -5.929028802419775e-6
15.54791 -5.929855071747899e-6
15.55509 -5.930686837056175e-6
15.56227 -5.931518618074395e-6
15.56945 -5.932339368800571e-6
15.57663 -5.933165623406349e-6
15.58382 -5.9339930428797354e-6
15.591 -5.934813791367572e-6
15.59818 -5.9356345508843945e-6
15.60536 -5.936449792345232e-6
15.61254 -5.93727054193988e-6
15.61972 -5.938080285558114e-6
15.6269 -5.938895526996254e-6
15.63408 -5.939705271847927e-6
15.64126 -5.940515006184245e-6
15.64844 -5.941319230242848e-6
15.65563 -5.942130099838683e-6
15.66281 -5.942934318382553e-6
15.66999 -5.943733046995207e-6
15.67717 -5.944537270526348e-6
15.68435 -5.945330477031485e-6
15.69153 -5.946129204709906e-6
15.69871 -5.9469224121026055e-6
15.70589 -5.947721139173801e-6
15.71307 -5.948514349459704e-6
15.72025 -5.9493020498908145e-6
15.72743 -5.9500897590212874e-6
15.73462 -5.950878553817867e-6
15.7418 -5.95166075651444e-6
15.74898 -5.952448454858623e-6
15.75616 -5.953225135847601e-6
15.76334 -5.9540073384257884e-6
15.77052 -5.954784020968747e-6
15.7777 -5.955555205323442e-6
15.78488 -5.956331888132336e-6
15.79206 -5.957103074150564e-6
15.79924 -5.957874250391773e-6
