 R   <X|H|X>   <A|H|A>   <B|H|B>   <C|H|C> 
3.15 -0.06636542933927345 0.06561865889229336 0.1466452180863009 0.13366519405533842
3.16 -0.06666279341551798 0.06509997214309839 0.14614792586547506 0.13322260329223307
3.17 -0.06695017251725938 0.06458961576350655 0.14565895201431792 0.13278849160848896
3.18 -0.0672277354257553 0.06408745093658044 0.14517815801188655 0.13236271862914326
3.19 -0.06749565092226348 0.06359333884538274 0.14470540533723836 0.13194514397923315
3.2 -0.06775408778804158 0.06310714067297603 0.14424055546943054 0.13153562728379575
3.21 -0.06800321480434728 0.06262871760242299 0.14378346988752033 0.13113402816786823
3.22 -0.06824320075243827 0.06215793081678623 0.1433340100705649 0.1307402062564877
3.23 -0.06847421441357225 0.0616946414991284 0.14289203749762158 0.13035402117469141
3.24 -0.0686964245690069 0.061238710832512096 0.14245741364774755 0.12997533254751648
3.25 -0.06890999999999992 0.06079 0.1420300000000001 0.12960400000000002
3.26 -0.06911510143753634 0.060348377311968064 0.1416096647021891 0.12923988982499143
3.27 -0.06931185741151065 0.05991373958804553 0.141196302577135 0.12888289498658875
3.28 -0.06950038840154468 0.059485990775175024 0.140789815116411 0.12853291511670206
3.29 -0.0696808148872603 0.05906503482029913 0.14039010381159014 0.12818984984724166
3.3 -0.06985325734827927 0.05865077567036045 0.13999707015424565 0.12785359881011774
3.31 -0.07001783626422349 0.05824311727230155 0.13961061563595056 0.12752406163724045
3.32 -0.07017467211471477 0.05784196357306509 0.13923064174827807 0.12720113796052002
3.33 -0.07032388537937499 0.05744721851959361 0.13885704998280124 0.12688472741186665
3.34 -0.07046559653782593 0.05705878605882974 0.1384897418310933 0.12657472962319052
3.35 -0.07059992606968943 0.05667657013771605 0.1381286187847273 0.1262710442264019
3.36 -0.07072699445458734 0.056300474703195165 0.13777358233527637 0.12597357085341085
3.37 -0.07084692217214152 0.05593040370220965 0.13742453397431365 0.12568220913612768
3.38 -0.07095982970197379 0.05556626108170215 0.1370813751934123 0.12539685870646256
3.39 -0.07106583752370597 0.05520795078861521 0.13674400748414542 0.12511741919632566
3.4 -0.07116506611695991 0.05485537676989146 0.13641233233808617 0.12484379023762719
3.41 -0.07125763596135744 0.05450844297247346 0.1360862512468076 0.12457587146227736
3.42 -0.0713436675365204 0.054167053343303864 0.13576566570188295 0.12431356250218639
3.43 -0.07142328132207063 0.05383111182932521 0.1354504771948852 0.1240567629892644
3.44 -0.07149659779762996 0.053500522377480146 0.13514058721738767 0.12380537255542165
3.45 -0.07156373744282023 0.05317518893471123 0.13483589726096334 0.12355929083256835
3.46 -0.07162482073726328 0.05285501544796109 0.13453630881718542 0.12331841745261468
3.47 -0.07167996816058095 0.05253990586417229 0.134241723377627 0.1230826520474708
3.48 -0.07172930019239507 0.052229764130287445 0.1339520424338612 0.12285189424904697
3.49 -0.07177293731232745 0.05192449419324914 0.13366716747746116 0.12262604368925331
3.5 -0.07181099999999996 0.05162400000000001 0.13338700000000003 0.1224050000000001
3.51 -0.07184360218913996 0.05132819062985334 0.13311144670223046 0.12218866821709949
3.52 -0.07187083162989687 0.051036995691605386 0.13284043512162313 0.12197697499197152
3.53 -0.07189276952652568 0.05075034992642315 0.13257389800482833 0.12176985237993825
3.54 -0.07190949708328136 0.05046818807547357 0.13231176809849626 0.12156723243632175
3.55 -0.07192109550441884 0.050190444879923655 0.13205397814927722 0.12136904721644408
3.56 -0.07192764599419312 0.049917055080940374 0.1318004609038214 0.12117522877562725
3.57 -0.07192922975685914 0.049647953419690714 0.13155114910877905 0.12098570916919338
3.58 -0.07192592799667191 0.049383074637341644 0.13130597551080048 0.12080042045246443
3.59 -0.07191782191788636 0.049122353475060145 0.13106487285653584 0.12061929468076253
3.6 -0.07190499272475746 0.048865724674013185 0.13082777389263545 0.12044226390940968
3.61 -0.07188752162154019 0.048613122975367774 0.13059461136574946 0.12026926019372798
3.62 -0.07186548981248948 0.048364483120290847 0.13036531802252815 0.12010021558903941
3.63 -0.07183897850186037 0.048119739849949404 0.13013982660962187 0.11993506215066607
