 R   <X|d/dR|A>   <X|d/dR|B>   <X|d/dR|C>   <A|d/dR|B>   <A|d/dR|C>   <B|d/dR|C> 
1.94 -0.37466152750723763 -0.07545316275013994 -0.007190982741399471 0.07968975832573526 0.12107998514812185 -0.1939447411775664
1.95 -0.37136106285818604 -0.07500219646825834 -0.006420139671023572 0.07968294272513408 0.11906221191928366 -0.19245801051040148
1.96 -0.3678900155682725 -0.07450267251578672 -0.005651568312704734 0.07964193614305769 0.11708621563877261 -0.19083458936493142
1.97 -0.3642483856374971 -0.07395459089272508 -0.004885268666442958 0.0795667385795061 0.11515199630658872 -0.18907447774115624
1.98 -0.36043617306585995 -0.07335795159907342 -0.004121240732238245 0.07945735003447929 0.11325955392273201 -0.18717767563907597
1.99 -0.3564533778533609 -0.07271275463483172 -0.0033594845100905915 0.07931377050797724 0.11140888848720241 -0.18514418305869057
2.0 -0.35230000000000006 -0.07201900000000001 -0.0026000000000000003 0.079136 0.10960000000000003 -0.18297400000000005
2.125 -0.2859898665102725 -0.05925001360857045 0.006701880671317799 0.07402900458831316 0.09051382392507384 -0.14431345265937345
2.25 -0.210008 -0.04390800000000001 0.015188000000000004 0.06860300000000001 0.076768 -0.09880600000000002
2.26 -0.2042452457720206 -0.04278609363623608 0.01581174182267602 0.06837214636503215 0.07584774611053303 -0.09549649189627006
2.27 -0.19852927600223985 -0.04167981019468273 0.016427313612223386 0.06817140039407868 0.074954071780257 -0.09223603388276513
2.28 -0.19286009069065813 -0.04058914967534004 0.01703471536864205 0.06800076208713961 0.07408697700917193 -0.0890246259594855
2.29 -0.18723768983727507 -0.03951411207820792 0.01763394709193207 0.06786023144421494 0.07324646179727778 -0.08586226812643091
2.3 -0.18166207344209112 -0.038454697403286484 0.018225008782093387 0.06774980846530465 0.07243252614457463 -0.08274896038360162
2.31 -0.17613324150510581 -0.03741090565057561 0.018807900439126057 0.06766949315040878 0.0716451700510624 -0.07968470273099736
2.32 -0.1706511940263195 -0.036382736820075395 0.019382622063030028 0.0676192854995273 0.07088439351674114 -0.07666949516861839
2.33 -0.1652159310057319 -0.03537019091178577 0.01994917365380535 0.06759918551266023 0.07015019654161081 -0.07370333769646446
2.34 -0.15982745244334337 -0.034373267925706795 0.020507555211451978 0.06760919318980754 0.06944257912567146 -0.07078623031453582
2.35 -0.15448575833915346 -0.0333919678618384 0.021057766735969947 0.06764930853096926 0.06876154126892305 -0.06791817302283222
2.36 -0.14919084869316263 -0.032426290720180675 0.021599808227359223 0.06771953153614536 0.06810708297136558 -0.06509916582135389
2.37 -0.14394272350537043 -0.03147623650073353 0.02213367968561985 0.0678198622053359 0.06747920423299908 -0.06232920871010062
2.38 -0.13875483480496106 -0.030540950455386493 0.0226596570537465 0.0679473326052126 0.06687495862099056 -0.05960663396991376
2.39 -0.13370789476703643 -0.02961530409547627 0.023179395989707554 0.06808413513580633 0.0662766675383421 -0.05692143528583979
2.4 -0.12881535542078068 -0.028698442672892385 0.023693172436497694 0.0682273018637889 0.06568138455222083 -0.05427194493872008
2.41 -0.1240772167661934 -0.027790366187634766 0.02420098639411696 0.06837683278916029 0.06508910966262667 -0.05165816292855439
2.42 -0.11949347880327503 -0.026891074639703486 0.024702837862565313 0.0685327279119205 0.06449984286955965 -0.04908008925534295
2.43 -0.11506414153202515 -0.026000568029098472 0.025198726841842788 0.06869498723206956 0.0639135841730197 -0.04653772391908555
2.44 -0.11078920495244415 -0.025118846355819797 0.02568865333194935 0.06886361074960742 0.06333033357300695 -0.04403106691978238
2.45 -0.10666866906453165 -0.02424590961986739 0.026172617332885038 0.06903859846453411 0.06275009106952129 -0.041560118257433255
2.46 -0.10270253386828802 -0.02338175782124132 0.02665061884464981 0.06921995037684964 0.06217285666256279 -0.03912487793203836
2.47 -0.0988907993637129 -0.022526390959941515 0.02712265786724371 0.06940766648655398 0.06159863035213138 -0.03672534594359751
2.48 -0.09523346555080663 -0.021679809035968056 0.027588734400666698 0.06960174679364717 0.06102741213822714 -0.0343615222921109
2.49 -0.0917305324295689 -0.020842012049320856 0.028048848444918804 0.06980219129812917 0.06045920202084999 -0.03203340697757833
2.5 -0.08838199999999999 -0.020013 0.028502999999999997 0.070009 0.059894 -0.02974099999999999
2.51 -0.08518786826209979 -0.019192772888005447 0.0289511890659103 0.07022217289925965 0.05933180607567714 -0.027484301359375792
2.52 -0.08214813721586811 -0.018381330713337155 0.029393415642649724 0.07044170999590815 0.058772620247881394 -0.025263311055705638
2.53 -0.07926280686130525 -0.017578673475995205 0.02982967973021823 0.07066761128994545 0.05821644251661278 -0.023078029088989715
2.54 -0.07653187719841097 -0.016784801175979525 0.03025998132861587 0.07089987678137159 0.057663272881871286 -0.02092845545922784
2.55 -0.0739553482271855 -0.01599971381329018 0.030684320437842597 0.07113850647018655 0.057113111343656944 -0.018814590166420193
2.56 -0.07153321994762858 -0.015223411387927105 0.031102697057898438 0.07138350035639035 0.05656595790196971 -0.016736433210566594
2.57 -0.06926549235974047 -0.014455893899890365 0.031515111188783376 0.07163485843998296 0.05602181255680962 -0.014693984591667222
2.58 -0.06715216546352096 -0.013697161349179896 0.03192156283049743 0.07189258072096441 0.055480675308176644 -0.012687244309721901
2.59 -0.06519323925897022 -0.012947213735795762 0.03232205198304057 0.07215666719933467 0.05494254615607082 -0.010716212364730802
2.6 -0.06338871374608807 -0.0122060510597379 0.03271657864641284 0.07242711787509377 0.0544074251004921 -0.008780888756693764
2.61 -0.061738588924874695 -0.011473673321006371 0.0331051428206142 0.07270393274824169 0.05387531214144053 -0.006881273485610941
2.62 -0.060242864795329934 -0.010750080519601113 0.03348774450564468 0.07298711181877846 0.05334620727891608 -0.005017366551482176
2.63 -0.05888080869496897 -0.010034901770085349 0.03386370533366986 0.073275716555987 0.05282184238355866 -0.003187753498194612
2.64 -0.057528024648881924 -0.009325911759837957 0.034228955097683485 0.07356411577556522 0.052312608679207596 -0.0013839475890699935
2.65 -0.05616377999458395 -0.008622739603422159 0.03458281542985114 0.07385137094679609 0.05182023803650283 0.0003954656320045418
2.66 -0.054788074732074935 -0.007925385300837895 0.03492528633017284 0.07413748206967959 0.05134473045544432 0.0021504861650291484
2.67 -0.053400908861355005 -0.007233848852085223 0.035256367798648575 0.07442244914421572 0.05088608593603209 0.0038811140100036734
2.68 -0.052002282382424034 -0.006548130257164084 0.03557605983527837 0.07470627217040451 0.05044430447826612 0.00558734916692827
2.69 -0.05059219529528214 -0.005868229516074539 0.035884362440062184 0.07498895114824596 0.05001938608214644 0.007269191635802787
2.7 -0.0491706475999292 -0.005194146628816527 0.03618127561300005 0.07527048607774002 0.049611330747673016 0.008926641416627372
2.71 -0.04773763929636535 -0.004525881595390108 0.03646679935409196 0.07555087695888672 0.04922013847484588 0.010559698509401878
2.72 -0.046293170384590444 -0.003863434415795221 0.03674093366333791 0.07583012379168608 0.048845809263665 0.01216836291412645
2.73 -0.044837240864604645 -0.0032068050900319277 0.0370036785407379 0.07610822657613808 0.048488343114130396 0.013752634630800951
2.74 -0.043369850736407776 -0.0025559936181001677 0.03725503398629193 0.07638518531224273 0.048147740026242065 0.01531251365942551
2.75 -0.041891 -0.001911 0.037494999999999994 0.07666099999999999 0.047824000000000005 0.016848
2.76 -0.04040068865538124 -0.001271824235731395 0.03772357658186211 0.07693567063940993 0.04751712303540423 0.018359093652524482
2.77 -0.03889891670255144 -0.0006384663252943252 0.037940763731878276 0.0772091972304725 0.0472271091324547 0.019845794616999028
2.78 -0.0373856841415107 -1.092626868884599e-5 0.03814656145004846 0.07748157977318768 0.04695395829115146 0.0213081028934235
2.79 -0.03586099097225894 0.0006107959340850978 0.03834096973637271 0.07775281826755553 0.04669767051149448 0.02274601848179804
2.8 -0.034324837194796266 0.0012267002830274511 0.03852398859085098 0.07802291271357603 0.04645824579348379 0.024159541382122503
2.81 -0.032777222809122535 0.0018367867781382686 0.03869561801348331 0.07829186311124917 0.04623568413711936 0.025548671594397023
2.82 -0.031218147815237893 0.0024410554194174965 0.03885585800426967 0.07855966946057494 0.0460299855424012 0.02691340911862148
2.83 -0.029647612213142202 0.0030395062068651864 0.039004708563210075 0.07882633176155335 0.04584115000932931 0.028253753954795992
2.84 -0.028065616002835594 0.0036321391404812884 0.03914216969030452 0.07909185001418441 0.0456691775379037 0.029569706102920437
2.85 -0.02647215918431794 0.004218954220265853 0.039268241385553015 0.07935622421846811 0.04551406812812435 0.030861265562994938
