# Data
     {R}            <X|V|X>         <A|V|A>        <B|V|B>         <C|V|C>
4.87500000e+01  -6.88213000e-01 -6.10903000e-01 -5.70926000e-01 -5.55289000e-01
4.90000000e+01  -6.88213000e-01 -6.10903000e-01 -5.70926000e-01 -5.55289000e-01
4.92500000e+01  -6.88213000e-01 -6.10903000e-01 -5.70926000e-01 -5.55289000e-01
4.95000000e+01  -6.88213000e-01 -6.10903000e-01 -5.70926000e-01 -5.55289000e-01
4.97500000e+01  -6.88213000e-01 -6.10903000e-01 -5.70926000e-01 -5.55289000e-01
5.00000000e+01  -6.88213000e-01 -6.10903000e-01 -5.70926000e-01 -5.55289000e-01
5.02500000e+01  -6.88213000e-01 -6.10903000e-01 -5.70926000e-01 -5.55289000e-01
5.05000000e+01  -6.88213000e-01 -6.10903000e-01 -5.70926000e-01 -5.55289000e-01
5.07500000e+01  -6.88213000e-01 -6.10903000e-01 -5.70926000e-01 -5.55289000e-01
5.10000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55289000e-01
5.12500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55289000e-01
5.15000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.17500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.20000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.22500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.25000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.27500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.30000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.32500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.35000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.37500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.40000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.42500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.45000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.47500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.50000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.52500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.55000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.57500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.60000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.62500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.65000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.67500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.70000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.72500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.75000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.77500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.80000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.82500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.85000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.87500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.90000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.92500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.95000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
5.97500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
6.00000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
6.02500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
6.05000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
6.07500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
6.10000000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
6.12500000e+01  -6.88212000e-01 -6.10903000e-01 -5.70926000e-01 -5.55288000e-01
