 R   <X|d2/dR2|X>   <A|d2/dR2|A> 
2.2091868 -9.294586054546232e-6 -9.294586054546232e-6
2.2092328 -9.419041846197657e-6 -9.419041846197657e-6
2.2092788 -9.544087610212903e-6 -9.544087610212903e-6
2.2093249 -9.670352316210457e-6 -9.670352316210457e-6
2.2093709 -9.797256710055595e-6 -9.797256710055595e-6
2.2094169 -9.925313008304718e-6 -9.925313008304718e-6
2.2094629 -1.0053956761081806e-5 -1.0053956761081806e-5
2.209509 -1.0183833617629008e-5 -1.0183833617629008e-5
2.209555 -1.0314541577912221e-5 -1.0314541577912221e-5
2.209601 -1.0446157486354464e-5 -1.0446157486354464e-5
2.2096471 -1.0578760217743351e-5 -1.0578760217743351e-5
2.2096931 -1.0712065846300938e-5 -1.0712065846300938e-5
2.2097391 -1.0846545492916395e-5 -1.0846545492916395e-5
2.2097852 -1.098195308788771e-5 -1.098195308788771e-5
2.2098312 -1.1117931280000536e-5 -1.1117931280000536e-5
2.2098772 -1.1255158923890673e-5 -1.1255158923890673e-5
2.2099233 -1.1393386573808426e-5 -1.1393386573808426e-5
2.2099693 -1.1532387189751361e-5 -1.1532387189751361e-5
2.2100153 -1.1672240971068674e-5 -1.1672240971068674e-5
2.2100614 -1.1813373870098419e-5 -1.1813373870098419e-5
2.2101074 -1.1955075409702769e-5 -1.1955075409702769e-5
2.2101534 -1.2097980134782304e-5 -1.2097980134782304e-5
2.2101995 -1.224161820792628e-5 -1.224161820792628e-5
2.2102455 -1.2386171347226492e-5 -1.2386171347226492e-5
2.2102915 -1.2531937705794756e-5 -1.2531937705794756e-5
2.2103376 -1.2678439108757393e-5 -1.2678439108757393e-5
2.2103836 -1.2826003615333563e-5 -1.2826003615333563e-5
2.2104296 -1.2974360809720095e-5 -1.2974360809720095e-5
2.2104756 -1.3123726998479584e-5 -1.3123726998479584e-5
2.2105217 -1.3274192080478085e-5 -1.3274192080478085e-5
2.2105677 -1.3425364939070717e-5 -1.3425364939070717e-5
2.2106137 -1.3577626012608739e-5 -1.3577626012608739e-5
2.2106598 -1.37309938997926e-5 -1.37309938997926e-5
